horizon,ols_endo_rmse,ols_endo_mae,ols_endo_mbe,ols_endo_skill,ridge_endo_rmse,ridge_endo_mae,ridge_endo_mbe,ridge_endo_skill,lasso_endo_rmse,lasso_endo_mae,lasso_endo_mbe,lasso_endo_skill,ols_exo_rmse,ols_exo_mae,ols_exo_mbe,ols_exo_skill,ridge_exo_rmse,ridge_exo_mae,ridge_exo_mbe,ridge_exo_skill,lasso_exo_rmse,lasso_exo_mae,lasso_exo_mbe,lasso_exo_skill,sp_rmse,sp_mae,sp_mbe
30min,123.11344904608815,80.57413310235539,12.354437074634989,-0.0471806311246441,123.12373136473738,80.56922794714708,12.3142420394539,-0.0472680906590488,123.07714993686545,80.56364577834131,12.28855221867476,-0.04687187749618493,112.98441695027459,72.73899480454814,9.36967000622975,0.03897507570479475,112.326702305012,72.5016596539237,9.291249701234651,0.04456947698802216,111.77895839442843,72.42741860181872,7.952841653643309,0.04922848718084738,117.56658344021088,59.4355718876749,-1.1195786557483616
60min,161.69421399248006,107.50457886380805,-11.666031157059727,-0.003110546718979368,161.73458156140117,107.41757463397984,-11.696907296427021,-0.0033609770413163265,161.7313894780239,107.462188509534,-11.77901842616794,-0.003341174152748705,150.0791738178591,97.60242289087928,-14.494182342299705,0.06894626355296274,149.0471125426472,97.11439354793373,-14.60175680492005,0.0753489141145558,147.04488767503793,96.71167472037212,-16.301113463693902,0.08777021746246216,161.19281620690464,84.15775430291812,-8.218409954333538
90min,185.9592891214335,124.08384420883051,-31.27238968714148,-0.00848395763431653,185.92173519065057,123.92768790963825,-31.326918985469362,-0.008280297269084747,185.90129496450618,123.9300682649996,-31.415184282209815,-0.008169446984302331,174.4943259813738,115.24486744121829,-33.201475561110755,0.053692185629323874,173.71111890274491,114.87463619437317,-33.3944499344306,0.05793963020729864,171.52001513039366,114.24751276900821,-34.75363015610624,0.06982230094866348,184.39489068091223,99.86100804519683,-11.964046083567231
120min,204.4290053885262,135.7787641579785,-49.47974944020244,-0.023091207052694518,204.40326151082897,135.57886064697058,-49.688020767726606,-0.022962368511131315,204.47016454359044,135.669263402972,-49.804763600349844,-0.023297193329230526,192.9493241265649,127.75772248383996,-50.23349955675457,0.034360331864489724,192.2247714896205,127.47250909636068,-50.549420851317464,0.037986448571831755,191.1023003088042,127.29745957362275,-52.022849625510396,0.04360399972647666,199.81503504212702,110.69005098424572,-17.386176232725028
150min,222.86593375478313,147.50242904270328,-65.19655292502492,-0.039506779388668756,222.71957660720815,147.12235687041917,-65.46245951228308,-0.038824130207822716,222.9318067177258,147.16894352204642,-65.83090256011359,-0.03981402864118433,211.99863838648642,140.38638479891688,-64.59986549824896,0.011181215042068482,211.40216007805782,140.23599308670478,-65.01441121411288,0.013963350628802162,210.806216697974,140.2143724313822,-66.80527772946589,0.016742991165567767,214.39584442715227,120.70669296946409,-21.92007588482265
180min,236.86380110235106,156.07645805382762,-79.33281809482388,-0.0596321759432632,236.7629667864083,155.67395532080073,-79.69513132494293,-0.05918108428166313,237.07041907251187,155.82191249695316,-80.04999578918957,-0.06055650059013429,226.3005365638021,149.999627407345,-77.67734340336983,-0.012376432617543953,225.95337343168362,149.87001460961278,-78.0394471767831,-0.01082336615748547,226.41963354685393,150.07275537914887,-80.02900501165244,-0.012909224013747833,223.53398328198148,127.79766651099791,-26.055226111252374
Mean,189.15428206761032,125.25336790491723,-37.432184038269575,-0.030167549643761078,189.1109755035391,125.0482772214926,-37.592532641232516,-0.029979491328344505,189.19703745220394,125.10267032914108,-37.76521873989267,-0.03034170353229752,178.13440263772682,117.28833663779125,-38.472782725925676,0.03246310652934927,177.44420645829436,117.01153436481815,-38.718039380054904,0.036497409058837506,176.4453352922487,116.82853224589216,-40.326505722130925,0.04237646207837827,183.48319217988146,100.44145745008292,-14.443918820408195
