horizon,ols_endo_rmse,ols_endo_mae,ols_endo_mbe,ols_endo_skill,ridge_endo_rmse,ridge_endo_mae,ridge_endo_mbe,ridge_endo_skill,lasso_endo_rmse,lasso_endo_mae,lasso_endo_mbe,lasso_endo_skill,ols_exo_rmse,ols_exo_mae,ols_exo_mbe,ols_exo_skill,ridge_exo_rmse,ridge_exo_mae,ridge_exo_mbe,ridge_exo_skill,lasso_exo_rmse,lasso_exo_mae,lasso_exo_mbe,lasso_exo_skill,sp_rmse,sp_mae,sp_mbe
5min,86.54335289951877,41.446035659736616,4.874152933332624,0.012270585709782122,86.54268240404207,41.44074670758718,4.868587406059125,0.012278238153121679,86.52450359037991,41.587366418587116,4.88383550741064,0.012485715080805093,86.62276821268766,44.67904038214497,-0.02601788027765163,0.011364209447089046,86.58734212067165,44.60571943771521,-0.07125948232807269,0.011768531580970243,85.68296735176426,42.623533747138836,0.7643058197731217,0.022090266652049495,87.61848300499261,36.04004325414329,4.986330118567787
10min,110.2764775750342,57.5916341081267,1.5451515146421828,0.03204653400303692,110.26666456012845,57.57600914144967,1.5372776809099677,0.03213266789123126,110.2466130421143,57.73014332207396,1.5441902082814039,0.032308670396816175,110.76731632378953,62.54646119873533,-6.933552590718217,0.027738189390015933,110.68300883357601,62.43685681223721,-7.016934710638918,0.028478199672863025,108.89698646832102,60.26303634887979,-7.191188261011697,0.04415503825904621,113.92745772282838,48.22574805708755,3.998103562660023
15min,123.36187784411257,67.88772571907514,-1.9443769927035697,0.03959700028639945,123.34799702896527,67.86789919460615,-1.9524925386880698,0.03970506589579936,123.36174988937118,68.02135728203653,-1.9426352523998331,0.039597996445987826,124.8715288274781,73.7619591373564,-12.859577602958407,0.02784399069962107,124.74972054032405,73.643751206706,-12.961313366432497,0.028792298608167566,122.5771790406031,71.8299361232156,-14.177933850076958,0.045706076266213036,128.44803471136598,55.97507681703117,3.0389546228786095
20min,133.59678626341307,75.78328693752387,-5.39221211552173,0.04443855250481665,133.57620027477543,75.75250996064464,-5.401943770110464,0.04458579539628793,133.59867702515444,75.90659294481416,-5.391340175279424,0.044425028683795165,134.8428973257149,81.5660276669437,-17.28082495586288,0.03552564581194817,134.70762587446706,81.42980720634979,-17.39049634522693,0.03649318543153368,132.60158174377887,79.79413530302193,-18.83642769605331,0.05155683055575977,139.8097282112111,61.87019300046503,2.193268390806917
25min,141.81527776619075,82.39633939851556,-8.829563391251613,0.0447978807745395,141.79187443142874,82.36130559495923,-8.838962758736864,0.04495551481308413,141.8012853617081,82.4992687876396,-8.828239402439563,0.04489212713942636,142.81727856943166,88.09326895238712,-21.124112224407497,0.03804886680511854,142.6851278643585,87.96836846257406,-21.240556157548777,0.038938972832701424,140.68380534396402,86.47116139834704,-22.564222897749772,0.05241895568677857,148.46625118585763,66.73060618919149,1.431182761127184
30min,148.79186001812835,88.17386410906707,-12.257995305325107,0.04447539453589,148.78107909370723,88.14715497371377,-12.269392114093552,0.0445446284210822,148.8122913992815,88.3112600013939,-12.257055127416704,0.04434418650197558,149.87465245496713,93.99866039329893,-24.497040585602736,0.03752182317866759,149.7514112625679,93.8813395022329,-24.621568463442674,0.0383132642677827,147.76561701998526,92.39282615619851,-26.011197073111525,0.051065811752204926,155.7174552777302,71.16124986314823,0.7504766106336445
Mean,124.06427206106628,68.8798143220075,-3.6674738928045354,0.03627099130241077,124.05108296550787,68.85760426216011,-3.6761543491099764,0.03636698509510109,124.0575200513349,69.00933145942422,-3.6652073736405804,0.03634228737480103,124.96607361901151,74.10756962181108,-13.786854306637897,0.02967378755541006,124.86070608266085,73.99430710463587,-13.883688087602977,0.030464075399003105,123.03468949473609,72.22910484613362,-14.669443993038357,0.04449882986200867,128.99790168566432,56.66715286351113,2.733052677779028
