horizon,ols_endo_rmse,ols_endo_mae,ols_endo_mbe,ols_endo_skill,ridge_endo_rmse,ridge_endo_mae,ridge_endo_mbe,ridge_endo_skill,lasso_endo_rmse,lasso_endo_mae,lasso_endo_mbe,lasso_endo_skill,ols_exo_rmse,ols_exo_mae,ols_exo_mbe,ols_exo_skill,ridge_exo_rmse,ridge_exo_mae,ridge_exo_mbe,ridge_exo_skill,lasso_exo_rmse,lasso_exo_mae,lasso_exo_mbe,lasso_exo_skill,sp_rmse,sp_mae,sp_mbe
30min,57.46444933300721,31.075887819752584,-0.20137505647827758,0.005765570115138452,57.426892016351196,31.029402655320187,-0.19718287252397637,0.006415376695500963,57.32691653050258,30.91951462252957,-0.1803028912407031,0.008145125632955219,53.741728456930794,33.16317631683547,-8.437845053365221,0.07017508435928399,53.22250864745089,33.03063410793305,-8.464343910476634,0.07915848570141892,51.87903722771151,32.75200291718275,-8.664697076488032,0.10240286647205232,57.79768594380899,28.887138844155785,-0.24453893575090568
60min,75.78791638974945,42.27621819654496,-9.771165889055387,0.00670494974667879,75.66722131974129,42.0930172295495,-9.713381844447749,0.00828680898414036,75.48842852741004,41.87321716855594,-9.73155026811927,0.0106301112426469,73.4686578051905,48.11196296779693,-22.246714331842963,0.03710172250465782,72.80867045215699,47.62057086073201,-22.067434324852673,0.0457516788859188,71.06437847807484,46.825350157754386,-21.944510132116857,0.06861279800076925,76.29950070769121,40.263871063976104,-3.3639807003358246
90min,87.68200964766687,50.07190847975464,-18.824145713595154,-0.004902648974015378,87.56414186139169,49.876710475941955,-18.784094832926954,-0.003551794321703161,87.37974884111155,49.681263241028894,-18.817347754445002,-0.0014385097918843126,86.67151352211387,56.864436895871535,-30.955500966634435,0.0066784066772702655,86.10686622939946,56.34809592775243,-30.71521040844536,0.013149694943412449,84.48635524815577,55.61917449506165,-30.591839060954943,0.031721985705073785,87.2542327728844,48.29386881391957,-5.887103409449851
120min,99.1629832503218,57.55934241464756,-28.497913270051054,-0.023234891058327545,99.09098975587455,57.42578802143062,-28.4904085652433,-0.02249201046888727,99.03319150120718,57.32230579607141,-28.554602340803463,-0.021895606560095704,98.05574347913316,63.95247550633041,-39.1563330523814,-0.011809595756474112,97.59225729071237,63.48511078450226,-38.980632558977405,-0.007027012337028182,96.4590975410758,62.86894424435199,-38.709992340252924,0.00466574392106156,96.91126066641253,54.893910660749185,-9.664300780322433
150min,109.14203371133213,64.34685415858483,-37.28400965824163,-0.027817752397973017,109.078809606353,64.2278457325541,-37.25874973917472,-0.02722235523276262,109.05192616790879,64.12532615080976,-37.3949622030583,-0.02696918718797847,107.7908261186832,70.20722351449612,-46.146344879668554,-0.015093093495494703,107.39627688024768,69.77017889595905,-45.96554685976106,-0.011377524913259052,106.9472657063694,69.61158765217529,-46.29820129252872,-0.007149074701695568,106.18811891183616,61.125684041486906,-12.837094900602795
180min,117.33042863349559,70.0520156939802,-45.30602534841671,-0.03925162896817613,117.2795593781111,69.99738561729757,-45.30879718074287,-0.038801055684344776,117.26741654678762,69.96921483386275,-45.35735452398343,-0.03869350082939205,115.33123154000795,75.22875543542561,-52.486393735732705,-0.021543785740862242,115.14327331762172,74.90975221884365,-52.38126624707426,-0.019878950019490915,115.23970482711785,74.86996233696377,-53.15446509438122,-0.020733089942909677,112.89896052411045,65.79318376950454,-16.154463654960786
Mean,91.09497016092884,52.56370446054413,-23.314105822639704,-0.013789400256112472,91.01793565630379,52.44169162201566,-23.292102505843264,-0.01289417167134275,90.9246046858213,52.31514030214305,-23.33935333027503,-0.011703594582291402,89.17661682034323,57.921338439459355,-33.23818866993755,0.010918123091396836,88.71164213626484,57.527390465953744,-33.095739051597896,0.01662939537682867,87.67930650475087,57.09117030058163,-33.22728416612045,0.029920204909058612,89.55829325445728,49.87627619896535,-8.025247063570433
