horizon,ols_endo_rmse,ols_endo_mae,ols_endo_mbe,ols_endo_skill,ridge_endo_rmse,ridge_endo_mae,ridge_endo_mbe,ridge_endo_skill,lasso_endo_rmse,lasso_endo_mae,lasso_endo_mbe,lasso_endo_skill,ols_exo_rmse,ols_exo_mae,ols_exo_mbe,ols_exo_skill,ridge_exo_rmse,ridge_exo_mae,ridge_exo_mbe,ridge_exo_skill,lasso_exo_rmse,lasso_exo_mae,lasso_exo_mbe,lasso_exo_skill,sp_rmse,sp_mae,sp_mbe
5min,89.29103071872302,44.65048042313511,8.380617141675568,-0.019088982785003372,89.29008605080519,44.645961794027514,8.373906045540513,-0.019078201179508314,89.27207183086114,44.78431231932878,8.358402101424378,-0.018872602779191006,88.82136911891135,47.46931651069149,4.139377005895541,-0.013728679984680747,88.81532024840027,47.4265298500737,4.087609399879082,-0.013659643517675013,88.40749905105947,45.91697925354228,4.603987027931317,-0.009005132467562849,87.61848300499261,36.04004325414329,4.986330118567787
10min,111.98228110769166,60.03725918838972,4.447921786808863,0.017073817445036776,111.9723050667382,60.02267265399584,4.439574400028638,0.017161382296854377,111.94524617719797,60.162627827320215,4.418748433783058,0.01739889211302237,110.67167971090409,63.794179668334905,-2.004002351117546,0.02857764122012807,110.65784485318784,63.73707796618864,-2.107023598692503,0.028699076895010722,110.51984032355685,62.706328246017065,-3.2382829445219277,0.029910413761376486,113.92745772282838,48.22574805708755,3.998103562660023
15min,124.57759610976282,69.83201359956124,0.5873224673689396,0.03013233024779527,124.56435620812475,69.81236697841678,0.5788575990304,0.03023540618560805,124.57278288361371,69.95593006666954,0.5627548816029665,0.03016980241434053,122.7938410630658,73.70678098763062,-7.105509776957194,0.044019308360814136,122.78014579692173,73.65242249422053,-7.238623741810458,0.04412592942492655,122.98263059610052,73.15279926734414,-9.549844963217865,0.04254953474022938,128.44803471136598,55.97507681703117,3.0389546228786095
20min,134.47395440163675,77.33293419410032,-3.148433487489569,0.038164538890409605,134.45372981550906,77.30317239171427,-3.1586239826677494,0.03830919682220335,134.4723057151536,77.44871418101458,-3.173110412483377,0.03817633124924069,132.24386362783966,80.89100454346261,-11.373548907070253,0.05411543731736368,132.22395185783338,80.82420240163506,-11.521308797157733,0.05425785780741854,132.5775399241625,80.54473922204858,-14.145582263431097,0.05172879154820276,139.8097282112111,61.87019300046503,2.193268390806917
25min,142.44732637962946,83.62519732512222,-6.813203364971057,0.04054069364689061,142.42414902323216,83.59053270324033,-6.82289559641333,0.040696805599689134,142.42989052984635,83.72117187157191,-6.835541290638305,0.040658133466673574,140.0820389566995,87.00824095140617,-15.245178304907906,0.056472175744926245,140.05939897701026,86.94680391348132,-15.40069582981374,0.05662466817676459,140.4238925320476,86.78620070065936,-17.931446454517452,0.05416960817406369,148.46625118585763,66.73060618919149,1.431182761127184
30min,149.23407493800138,89.13657347446373,-10.431646085134165,0.041635540011653704,149.22259018601605,89.10911655320207,-10.444295576728877,0.04170929379837496,149.2510014702032,89.26737236369594,-10.458192558015208,0.041526839723868836,146.86118834189546,92.47830046986715,-18.56224440393151,0.05687395109327431,146.84929846427147,92.42321456621266,-18.730752998369226,0.05695030655132349,147.293545976864,92.32566437421568,-21.382187774694316,0.05409739894504262,155.7174552777302,71.16124986314823,0.7504766106336445
Mean,125.33437727590751,70.76907636746205,-1.1629035902902367,0.02474298957613043,125.3212027250709,70.74730384576613,-1.172246185201734,0.02483898058720359,125.323883101146,70.89002143826683,-1.187823140721081,0.024842899364659166,123.57899680321934,74.2246371885655,-8.358517789681478,0.037721638958637616,123.56432669960414,74.16837519863532,-8.48513259432743,0.03783303255629481,123.70082473396518,73.57211851063785,-10.273892895408556,0.03724176911689201,128.99790168566432,56.66715286351113,2.733052677779028
