horizon,ols_endo_rmse,ols_endo_mae,ols_endo_mbe,ols_endo_skill,ridge_endo_rmse,ridge_endo_mae,ridge_endo_mbe,ridge_endo_skill,lasso_endo_rmse,lasso_endo_mae,lasso_endo_mbe,lasso_endo_skill,ols_exo_rmse,ols_exo_mae,ols_exo_mbe,ols_exo_skill,ridge_exo_rmse,ridge_exo_mae,ridge_exo_mbe,ridge_exo_skill,lasso_exo_rmse,lasso_exo_mae,lasso_exo_mbe,lasso_exo_skill,sp_rmse,sp_mae,sp_mbe
5min,50.67672932405318,21.457195871577206,1.3732118677028728,0.03459150141131706,50.67361305334282,21.455275412862854,1.371017639482207,0.03465086740173928,50.63095900910207,21.496486915076975,1.3737631970271134,0.03546344108907962,50.435036445306636,23.337886911436925,-2.0436798798178866,0.039195830899477646,50.43536618941273,23.33691757997805,-2.045116818360753,0.0391895491649098,50.195157159181846,22.873556026569435,-1.0766564031413988,0.04376561084678654,52.49252456150611,20.602912033511387,1.5457792164308362
10min,62.4860669674881,28.949055290481358,0.22317342112621338,0.06835817933226729,62.483473168025206,28.94864502946303,0.2232622640903121,0.06839685182633404,62.47325733561897,28.995907487955183,0.2251625475459118,0.0685491657286883,62.13552399630854,32.3924081152585,-5.369023366199188,0.07358463232797141,62.13540793165581,32.39170950715131,-5.368979734768368,0.07358636280469422,61.63891542304707,31.795852494819833,-4.33711066522344,0.08098886398801897,67.0709124271629,27.997882523671628,1.2985324476310096
15min,67.78452926328248,33.15962770882006,-1.0673487499353778,0.08047826376490352,67.78533988900207,33.15515624977979,-1.0690849023651419,0.0804672673328678,67.78725004748759,33.197759328282395,-1.0666015772658752,0.08044135533987806,68.01319899514105,37.77027756866053,-7.9513103460004055,0.07737627587550899,68.01429680532226,37.76944996262288,-7.951460538384998,0.0773613836820417,67.07791494297948,37.148987267840575,-7.357977460166023,0.09006374342693546,73.71715816182929,32.358742632814,1.0194617760384688
20min,71.8510849601758,36.02353108993515,-2.4367939243979206,0.08866579765887694,71.84978131128445,36.00881717383333,-2.4431179893615544,0.0886823326885594,71.86516835597074,36.052062093659565,-2.440182300622837,0.088487168758838,71.91642024766178,40.97956713388746,-9.526225818683717,0.08783710756827123,71.91915592438721,40.97944775139788,-9.531964931500932,0.08780240919499249,71.08681221297549,40.35851796326975,-9.067329795829814,0.0983595676948743,78.8416420404258,35.353046935001906,0.7262187842768597
25min,74.87924706616631,38.29503184080515,-3.912946213250855,0.08983569389539425,74.866395538707,38.2652884985442,-3.9183858980882036,0.0899919054230297,74.87200144762967,38.297080094063844,-3.9155910564200607,0.08992376507166921,74.96406296712605,43.55158271353222,-10.925403124665971,0.08880474862459786,74.95298266732944,43.54080303769243,-10.9301508315474,0.08893943071303967,74.21977676544303,42.965203372132756,-10.525073481575022,0.09785161756145389,82.27003252483118,37.68924785805396,0.41203552182549097
30min,77.21027735563263,40.24545239589323,-5.4473663885312815,0.08774216050856987,77.19067398629964,40.19337939961768,-5.453283110579011,0.08797377899210523,77.2023324412761,40.221956995954855,-5.450095469292297,0.08783603156633657,77.51778663857607,45.72762893041631,-12.05743069327296,0.0841088649980587,77.49555046893504,45.70222258638305,-12.06028625672245,0.08437159064508437,76.7985728016116,45.11371792917695,-11.739963863179687,0.09260654799457868,84.63646352294016,39.741621641295815,0.09909891069484912
Mean,67.48132248946642,33.021649032918695,-1.878011664547725,0.0749452660952215,67.4748794911102,33.00442696068348,-1.8815986661368986,0.07502716727743924,67.47182810618085,33.0435421524988,-1.8789241098380074,0.07511682125908163,67.49700488168669,37.29322522886532,-7.978845538106687,0.07515124338231431,67.49212666450708,37.286758404204264,-7.981326518547483,0.07520845436746038,66.8361915508731,36.709305842301546,-7.350685278185897,0.08393932525210797,73.17145553978258,32.29057560405811,0.8501877761495856
