horizon,my_model_rmse,my_model_mae,my_model_mbe,my_model_skill,sp_rmse,sp_mae,sp_mbe
5min,86.86846859446136,42.99117962704058,6.821048026778526,0.00873248534505533,87.63372884735342,36.0573751649135,4.9965146481148475
10min,107.43857938272068,51.568222252800304,-0.14975811303434983,0.05728699415201732,113.96743093204519,48.24835967225822,4.020089361433054
15min,120.08395679639916,56.943915282241186,-3.9542070370419062,0.06506723304285189,128.44127518091696,55.97471704741475,3.0725140329496456
20min,128.7232103992526,61.009393360535114,-5.554111590846286,0.07934569401656344,139.81709482339448,61.87481310248778,2.233462523492451
25min,136.90950212742408,64.37797223181842,-8.49737174595879,0.07804288823912009,148.49877546465862,66.74996788350524,1.4874957605651697
30min,142.98736889854922,67.49383365996344,-9.049232734423711,0.0819261663741272,155.74713455652028,71.1772333007123,0.8010305540819556
Mean,120.50184769980119,57.39741940239984,-3.397272199087753,0.06173357686162254,129.0175733008148,56.68041102854863,2.76851781343952
