horizon,my_model_rmse,my_model_mae,my_model_mbe,my_model_skill,sp_rmse,sp_mae,sp_mbe
5min,48.24193879392929,23.938442504541616,3.0665078096068163,0.08110833451891497,52.50013750932463,20.61126616956557,1.5434300869017714
10min,59.056897942069654,28.281789490506984,-1.8762160645530168,0.11991901867301114,67.10393610940606,28.013478290892753,1.2944252090916322
15min,64.37947112683773,31.04006581806948,-2.788149949836501,0.12646757839015732,73.7001507147177,32.36083557877857,1.0138888709646583
20min,68.03115526178512,32.87824964318774,-4.276786710066953,0.1369932229136891,78.83038357065091,35.36170009636942,0.716161425139111
25min,70.74189005784412,33.996936751894616,-5.065256517232588,0.14010794147839245,82.26833746955288,37.70603812162153,0.4060718107458057
30min,72.80245633356039,35.597329087949234,-5.07191960775676,0.13981194534470864,84.63551189714553,39.76111750955289,0.08205886328379712
Mean,63.875634919337706,30.955468882691616,-2.6686368399731673,0.12406800688647894,73.17307621179962,32.30240596113012,0.8426727110211293
